Round,Date,Home Team,Score,Away Team,Venue
7,"Sunday 5 May,0",Melbourne Vixens,52–30,Central Pulse,"Hisense Arena Melbourne"
7,"Sunday 5 May,0",Northern Mystics,57–61,Canterbury Tactix,"Trusts Stadium Auckland"
7,"Monday 6 May,0",Southern Steel,60–55,New South Wales Swifts,"Stadium Southland Velodrome Invercargill"
7,"Monday 6 May,0",Adelaide Thunderbirds,45–33,Waikato Bay of Plenty Magic,"Netball SA Stadium Adelaide"
8,"Saturday 11 May,0",Canterbury Tactix,51–76,Queensland Firebirds,"CBS Canterbury Arena Christchurch"
8,"Sunday 12 May,0",New South Wales Swifts,42–50,Melbourne Vixens,Sydney Olympic Park Sports Centre
8,"Sunday 12 May,0",West Coast Fever,47–49,Adelaide Thunderbirds,"Challenge Stadium Perth"
8,"Sunday 12 May,0",Northern Mystics,63–73,Southern Steel,"Trusts Stadium Auckland"
8,"Monday 13 May,0",Waikato Bay of Plenty Magic,53–49,Central Pulse,"Claudelands Arena Hamilton"
9,"Saturday 18 May,0",Southern Steel,65–58,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome Invercargill"
9,"Sunday 19 May,0",Melbourne Vixens,46–57,Queensland Firebirds,"Hisense Arena Melbourne"
9,"Sunday 19 May,0",Adelaide Thunderbirds,50–48,New South Wales Swifts,"Netball SA Stadium Adelaide"
9,"Sunday 19 May,0",Canterbury Tactix,55–64,West Coast Fever,"Trafalgar Centre Nelson"
9,"Monday 20 May,0",Central Pulse,63–48,Northern Mystics,"Te Rauparaha Arena Porirua"
10,"Sunday 26 May,0",New South Wales Swifts,63–44,Northern Mystics,Sydney Olympic Park Sports Centre
10,"Sunday 26 May,0",Queensland Firebirds,62–65,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
10,"Sunday 26 May,0",Central Pulse,53–52,West Coast Fever,"TSB Bank Arena Wellington"
10,"Monday 27 May,0",Canterbury Tactix,58–62,Adelaide Thunderbirds,"Lion Foundation Arena Dunedin"
10,"Monday 27 May,0",Melbourne Vixens,58–52,Southern Steel,"Hisense Arena Melbourne"
11,"Sunday 2 June,0",New South Wales Swifts,43–46,Adelaide Thunderbirds,"Allphones Arena Sydney"
11,"Sunday 2 June,0",Queensland Firebirds,47–53,Melbourne Vixens,Brisbane Convention and Exhibition Centre
11,"Sunday 2 June,0",Waikato Bay of Plenty Magic,58–52,Southern Steel,"Energy Events Centre Rotorua"
11,"Monday 3 June,0",Canterbury Tactix,45–62,Central Pulse,"CBS Canterbury Arena Christchurch"
11,BYES:  West Coast Fever and Northern Mystics,,,,
12,"Saturday 8 June,0",Melbourne Vixens,39–48,New South Wales Swifts,"Hisense Arena Melbourne"
12,"Sunday 9 June,0",West Coast Fever,47–72,Queensland Firebirds,"Challenge Stadium Perth"
12,"Sunday 9 June,0",Southern Steel,79–62,Canterbury Tactix,"Lion Foundation Arena Dunedin"
12,"Monday 10 June,0",Northern Mystics,50–60,Waikato Bay of Plenty Magic,"Trusts Stadium Auckland"
12,BYES:  Adelaide Thunderbirds and Central Pulse,,,,
13,"Sunday 16 June,0",Queensland Firebirds,52–48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
13,"Sunday 16 June,0",Adelaide Thunderbirds,64–48,Northern Mystics,"Netball SA Stadium Adelaide"
13,"Sunday 16 June,0",Waikato Bay of Plenty Magic,56–51,Melbourne Vixens,"Claudelands Arena Hamilton"
13,"Monday 17 June,0",Central Pulse,73–59,Canterbury Tactix,"Te Rauparaha Arena Porirua"
13,"Monday 17 June,0",West Coast Fever,68–56,Southern Steel,"Challenge Stadium Perth"
14,"Sunday 23 June,0",Melbourne Vixens,69–39,West Coast Fever,"Hisense Arena Melbourne"
14,"Sunday 23 June,0",Adelaide Thunderbirds,54–52,Queensland Firebirds,"Netball SA Stadium Adelaide"
14,"Sunday 23 June,0",Southern Steel,64–73,Central Pulse,"Stadium Southland Velodrome Invercargill"
14,"Monday 24 June,0",Waikato Bay of Plenty Magic,68–40,Northern Mystics,"ASB Baypark Arena Tauranga"
14,"Monday 24 June,0",New South Wales Swifts,62–42,Canterbury Tactix,Sydney Olympic Park Sports Centre
15,"Sunday 30 June,0",Adelaide Thunderbirds,49-39,Melbourne Vixens,"Netball SA Stadium Adelaide"
15,"Monday 1 July,0",Waikato Bay of Plenty Magic,50-53,Queensland Firebirds,"Claudelands Arena Waikato"
16,"Sunday 7 July,0",Melbourne Vixens,46-50,Queensland Firebirds,"State Netball Hockey Centre Melbourne"
17,"Sunday 14 July,0",Adelaide Thunderbirds,50-48,Queensland Firebirds,"Adelaide Entertainment Centre Adelaide"
